PaymentMethod,MonthlyCharges,InternetService,DeviceProtection,OnlineSecurity
Electronic check,89.4,Fiber optic,Yes,No
Credit card (automatic),88.0,DSL,Yes,Yes
Credit card (automatic),83.15,Fiber optic,No,No
Mailed check,43.8,DSL,No,No
Credit card (automatic),62.05,DSL,Yes,Yes
Bank transfer (automatic),20.1,No,No internet service,No internet service
Mailed check,74.15,Fiber optic,No,No
Electronic check,101.35,Fiber optic,Yes,No
Electronic check,84.05,Fiber optic,No,No
Mailed check,20.9,No,No internet service,No internet service
Electronic check,105.9,Fiber optic,Yes,No
Electronic check,99.5,Fiber optic,Yes,No
Mailed check,44.15,DSL,No,No
Mailed check,53.9,DSL,No,No
Mailed check,85.45,Fiber optic,No,No
Credit card (automatic),85.05,Fiber optic,No,No
Bank transfer (automatic),44.1,DSL,No,Yes
Credit card (automatic),90.2,Fiber optic,Yes,No
Mailed check,50.85,DSL,No,No
Electronic check,59.2,DSL,Yes,No
Mailed check,53.45,DSL,No,Yes
Mailed check,19.95,No,No internet service,No internet service
Electronic check,83.2,Fiber optic,Yes,No
Credit card (automatic),74.65,DSL,Yes,No
Electronic check,54.9,DSL,No,Yes
Bank transfer (automatic),57.5,DSL,Yes,No
Electronic check,103.9,Fiber optic,Yes,Yes
Mailed check,19.65,No,No internet service,No internet service
Electronic check,93.8,Fiber optic,Yes,No
Mailed check,89.25,DSL,Yes,Yes
Electronic check,94.15,Fiber optic,Yes,No
Electronic check,55.6,DSL,No,Yes
Bank transfer (automatic),48.7,DSL,Yes,Yes
Mailed check,19.25,No,No internet service,No internet service
Bank transfer (automatic),104.9,Fiber optic,No,No
Mailed check,75.45,Fiber optic,No,No
Mailed check,54.85,DSL,No,Yes
Bank transfer (automatic),19.9,No,No internet service,No internet service
Mailed check,19.4,No,No internet service,No internet service
Credit card (automatic),25.05,No,No internet service,No internet service
Mailed check,84.45,DSL,Yes,Yes
Mailed check,19.3,No,No internet service,No internet service
Electronic check,95.1,Fiber optic,No,No
Bank transfer (automatic),79.85,DSL,Yes,Yes
Credit card (automatic),25.55,No,No internet service,No internet service
Electronic check,75.5,Fiber optic,No,No
Electronic check,73.75,Fiber optic,Yes,No
Electronic check,96.05,Fiber optic,No,No
Electronic check,68.4,DSL,No,Yes
Mailed check,20.65,No,No internet service,No internet service
Mailed check,55.15,DSL,Yes,Yes
Mailed check,70.6,Fiber optic,No,No
Credit card (automatic),19.95,No,No internet service,No internet service
Mailed check,19.0,No,No internet service,No internet service
Mailed check,44.1,DSL,No,No
Bank transfer (automatic),107.6,Fiber optic,Yes,No
Electronic check,61.55,DSL,No,Yes
Bank transfer (automatic),90.7,Fiber optic,Yes,Yes
Credit card (automatic),99.25,Fiber optic,No,Yes
Electronic check,91.7,DSL,Yes,Yes
Credit card (automatic),100.7,Fiber optic,Yes,Yes
Credit card (automatic),78.45,DSL,Yes,No
Bank transfer (automatic),84.3,Fiber optic,No,No
Bank transfer (automatic),19.55,No,No internet service,No internet service
Electronic check,88.95,Fiber optic,No,No
Credit card (automatic),20.45,No,No internet service,No internet service
Credit card (automatic),55.6,DSL,No,Yes
Bank transfer (automatic),86.8,Fiber optic,No,Yes
Mailed check,20.95,No,No internet service,No internet service
Bank transfer (automatic),20.05,No,No internet service,No internet service
Credit card (automatic),50.7,DSL,No,No
Electronic check,113.65,Fiber optic,Yes,Yes
Credit card (automatic),53.4,DSL,No,No
Electronic check,101.9,Fiber optic,No,No
Mailed check,59.5,DSL,No,Yes
Credit card (automatic),87.8,Fiber optic,No,No
Mailed check,41.9,DSL,Yes,Yes
Electronic check,83.0,Fiber optic,No,No
Mailed check,69.85,DSL,No,Yes
Bank transfer (automatic),56.3,DSL,No,No
Electronic check,109.55,Fiber optic,Yes,Yes
Mailed check,92.15,Fiber optic,No,No
Bank transfer (automatic),69.5,DSL,No,Yes
Bank transfer (automatic),97.0,Fiber optic,Yes,Yes
Bank transfer (automatic),58.35,DSL,Yes,Yes
Mailed check,50.6,DSL,No,Yes
Electronic check,89.5,Fiber optic,No,No
Bank transfer (automatic),70.4,Fiber optic,No,No
Electronic check,69.8,Fiber optic,No,No
Electronic check,94.3,Fiber optic,No,No
Bank transfer (automatic),93.8,Fiber optic,Yes,Yes
Bank transfer (automatic),19.55,No,No internet service,No internet service
Electronic check,95.95,Fiber optic,Yes,Yes
Electronic check,101.05,Fiber optic,Yes,No
Credit card (automatic),94.8,DSL,Yes,Yes
Electronic check,107.75,Fiber optic,Yes,Yes
Mailed check,54.6,DSL,No,Yes
Credit card (automatic),71.3,Fiber optic,No,No
Bank transfer (automatic),19.5,No,No internet service,No internet service
Credit card (automatic),56.3,DSL,No,No
Electronic check,94.7,Fiber optic,No,No
Bank transfer (automatic),104.15,Fiber optic,Yes,No
Credit card (automatic),90.55,DSL,Yes,Yes
Mailed check,60.8,DSL,Yes,Yes
Credit card (automatic),98.8,Fiber optic,Yes,No
Credit card (automatic),98.15,Fiber optic,Yes,Yes
Mailed check,35.35,DSL,Yes,Yes
Electronic check,103.15,Fiber optic,No,No
Electronic check,107.75,Fiber optic,Yes,Yes
Credit card (automatic),81.4,Fiber optic,No,No
Credit card (automatic),61.45,DSL,No,No
Credit card (automatic),95.7,Fiber optic,Yes,No
Electronic check,104.8,Fiber optic,Yes,No
Bank transfer (automatic),70.95,Fiber optic,No,No
Mailed check,44.95,DSL,No,No
Electronic check,97.65,Fiber optic,Yes,No
Mailed check,35.65,DSL,Yes,No
Electronic check,90.55,Fiber optic,No,No
Mailed check,85.25,DSL,Yes,Yes
Mailed check,19.5,No,No internet service,No internet service
Bank transfer (automatic),88.8,Fiber optic,No,No
Mailed check,25.1,No,No internet service,No internet service
Credit card (automatic),100.05,Fiber optic,Yes,No
Electronic check,55.7,DSL,No,Yes
Mailed check,85.2,Fiber optic,No,No
Electronic check,91.15,Fiber optic,No,Yes
Bank transfer (automatic),83.85,Fiber optic,No,No
Electronic check,45.9,DSL,No,No
Credit card (automatic),25.1,No,No internet service,No internet service
Electronic check,91.4,Fiber optic,No,No
Mailed check,19.7,No,No internet service,No internet service
Electronic check,91.5,Fiber optic,No,No
Credit card (automatic),51.3,DSL,No,Yes
Mailed check,21.1,No,No internet service,No internet service
Electronic check,104.75,Fiber optic,Yes,No
Bank transfer (automatic),106.15,Fiber optic,Yes,No
Electronic check,85.75,Fiber optic,No,Yes
Mailed check,20.3,No,No internet service,No internet service
Electronic check,100.75,Fiber optic,No,Yes
Electronic check,74.15,Fiber optic,No,No
Electronic check,78.55,DSL,Yes,Yes
Mailed check,45.3,DSL,No,No
Credit card (automatic),19.85,No,No internet service,No internet service
Electronic check,50.7,DSL,No,No
Bank transfer (automatic),45.0,DSL,No,No
Electronic check,77.8,Fiber optic,Yes,No
Electronic check,83.45,Fiber optic,No,Yes
Credit card (automatic),73.25,Fiber optic,No,No
Bank transfer (automatic),94.8,Fiber optic,No,Yes
Bank transfer (automatic),20.1,No,No internet service,No internet service
Mailed check,59.9,DSL,No,No
Credit card (automatic),90.1,DSL,Yes,Yes
Electronic check,51.05,DSL,Yes,No
Electronic check,70.95,DSL,Yes,No
Mailed check,29.2,DSL,No,No
Bank transfer (automatic),46.6,DSL,No,No
Bank transfer (automatic),85.35,Fiber optic,No,No
Electronic check,75.35,Fiber optic,No,No
Bank transfer (automatic),74.3,Fiber optic,No,Yes
Electronic check,69.3,Fiber optic,No,No
Electronic check,75.2,Fiber optic,No,Yes
Mailed check,20.9,No,No internet service,No internet service
Electronic check,94.3,Fiber optic,Yes,No
Mailed check,76.45,DSL,Yes,Yes
Electronic check,54.0,DSL,Yes,Yes
Electronic check,104.25,Fiber optic,No,No
Bank transfer (automatic),19.95,No,No internet service,No internet service
Electronic check,24.95,DSL,No,No
Electronic check,84.75,Fiber optic,Yes,Yes
Mailed check,19.75,No,No internet service,No internet service
Bank transfer (automatic),113.65,Fiber optic,Yes,Yes
Mailed check,44.9,DSL,No,No
Electronic check,75.25,Fiber optic,No,No
Mailed check,24.6,No,No internet service,No internet service
Bank transfer (automatic),25.0,No,No internet service,No internet service
Bank transfer (automatic),20.95,No,No internet service,No internet service
Electronic check,110.6,Fiber optic,Yes,Yes
Credit card (automatic),55.5,DSL,No,Yes
Electronic check,43.3,DSL,No,No
Bank transfer (automatic),109.5,Fiber optic,Yes,Yes
Mailed check,19.45,No,No internet service,No internet service
Electronic check,84.85,Fiber optic,No,No
Mailed check,19.6,No,No internet service,No internet service
Electronic check,53.45,DSL,No,Yes
Credit card (automatic),19.8,No,No internet service,No internet service
Credit card (automatic),112.1,Fiber optic,Yes,Yes
Credit card (automatic),84.8,Fiber optic,No,No
Electronic check,95.05,Fiber optic,Yes,No
Electronic check,50.35,DSL,Yes,No
Bank transfer (automatic),74.6,Fiber optic,No,No
Mailed check,19.7,No,No internet service,No internet service
Electronic check,74.2,Fiber optic,Yes,No
Mailed check,69.0,DSL,Yes,No
Credit card (automatic),19.35,No,No internet service,No internet service
Electronic check,59.45,DSL,Yes,No
Mailed check,19.8,No,No internet service,No internet service
Bank transfer (automatic),105.2,Fiber optic,No,Yes
Credit card (automatic),109.2,Fiber optic,Yes,No
Mailed check,79.15,Fiber optic,No,No
Mailed check,53.65,DSL,Yes,No
Credit card (automatic),100.2,Fiber optic,Yes,Yes
Mailed check,45.15,DSL,No,No
Bank transfer (automatic),108.65,Fiber optic,Yes,Yes
Bank transfer (automatic),40.65,DSL,No,Yes
Credit card (automatic),55.35,DSL,Yes,Yes
Bank transfer (automatic),105.6,Fiber optic,Yes,Yes
Electronic check,93.8,Fiber optic,Yes,No
Electronic check,95.7,Fiber optic,No,No
Electronic check,83.2,DSL,Yes,Yes
Credit card (automatic),90.05,DSL,Yes,Yes
Credit card (automatic),97.65,Fiber optic,No,Yes
Bank transfer (automatic),68.05,DSL,Yes,Yes
Electronic check,96.2,Fiber optic,No,No
Electronic check,79.6,Fiber optic,No,No
Bank transfer (automatic),102.1,Fiber optic,Yes,Yes
Bank transfer (automatic),23.4,No,No internet service,No internet service
Electronic check,71.05,Fiber optic,No,No
Electronic check,85.25,Fiber optic,No,No
Mailed check,19.45,No,No internet service,No internet service
Bank transfer (automatic),59.45,DSL,Yes,Yes
Bank transfer (automatic),92.2,Fiber optic,No,No
Credit card (automatic),19.85,No,No internet service,No internet service
Mailed check,43.9,DSL,No,No
Electronic check,80.5,Fiber optic,No,No
Electronic check,89.8,Fiber optic,No,No
Credit card (automatic),90.5,Fiber optic,No,Yes
Credit card (automatic),90.45,Fiber optic,No,No
Electronic check,50.75,DSL,No,No
Electronic check,84.6,DSL,Yes,No
Credit card (automatic),89.65,Fiber optic,No,No
Bank transfer (automatic),99.15,Fiber optic,No,No
Mailed check,19.95,No,No internet service,No internet service
Mailed check,20.5,No,No internet service,No internet service
Electronic check,62.1,DSL,Yes,No
Electronic check,79.5,Fiber optic,No,No
Bank transfer (automatic),19.55,No,No internet service,No internet service
Mailed check,20.35,No,No internet service,No internet service
Electronic check,51.7,DSL,No,No
Bank transfer (automatic),23.3,No,No internet service,No internet service
Mailed check,65.4,DSL,No,No
Mailed check,65.1,DSL,No,Yes
Electronic check,81.2,Fiber optic,Yes,No
Mailed check,72.9,DSL,Yes,No
Credit card (automatic),74.5,DSL,Yes,Yes
Electronic check,80.5,Fiber optic,No,No
Mailed check,60.3,DSL,Yes,No
Mailed check,75.0,Fiber optic,No,Yes
Mailed check,90.15,Fiber optic,No,Yes
Mailed check,40.0,DSL,Yes,Yes
Credit card (automatic),99.45,Fiber optic,No,No
Credit card (automatic),69.05,DSL,Yes,No
Bank transfer (automatic),59.7,DSL,No,No
Bank transfer (automatic),19.85,No,No internet service,No internet service
Electronic check,86.25,Fiber optic,No,Yes
Electronic check,45.65,DSL,No,No
Mailed check,70.1,Fiber optic,No,No
Electronic check,40.75,DSL,No,No
Bank transfer (automatic),70.2,Fiber optic,No,No
Electronic check,55.35,DSL,No,Yes
Credit card (automatic),95.7,Fiber optic,No,No
Electronic check,46.3,DSL,No,No
Mailed check,81.3,DSL,Yes,Yes
Electronic check,84.2,Fiber optic,Yes,No
Credit card (automatic),20.0,No,No internet service,No internet service
Bank transfer (automatic),66.15,DSL,Yes,Yes
Mailed check,45.85,DSL,No,No
Electronic check,19.6,No,No internet service,No internet service
Electronic check,49.8,DSL,No,No
Electronic check,101.75,Fiber optic,Yes,No
Mailed check,55.15,DSL,No,Yes
Electronic check,75.25,Fiber optic,No,No
Electronic check,103.95,Fiber optic,Yes,No
Bank transfer (automatic),100.15,Fiber optic,Yes,No
Credit card (automatic),99.65,Fiber optic,No,No
Electronic check,73.7,Fiber optic,No,No
Bank transfer (automatic),50.05,DSL,Yes,No
Bank transfer (automatic),60.25,DSL,Yes,Yes
Electronic check,105.75,Fiber optic,Yes,No
Credit card (automatic),87.3,Fiber optic,No,Yes
Electronic check,48.35,DSL,Yes,No
Electronic check,54.25,DSL,No,No
Bank transfer (automatic),85.3,DSL,Yes,Yes
Electronic check,50.0,DSL,Yes,No
Mailed check,24.4,DSL,No,No
Credit card (automatic),90.95,DSL,Yes,Yes
Bank transfer (automatic),72.25,Fiber optic,No,No
Credit card (automatic),96.1,Fiber optic,Yes,No
Credit card (automatic),19.85,No,No internet service,No internet service
Bank transfer (automatic),55.3,DSL,No,No
Mailed check,20.1,No,No internet service,No internet service
Mailed check,69.5,DSL,Yes,Yes
Mailed check,25.15,No,No internet service,No internet service
Bank transfer (automatic),20.95,No,No internet service,No internet service
Electronic check,49.55,DSL,No,Yes
Mailed check,79.65,Fiber optic,Yes,No
Electronic check,71.25,Fiber optic,No,No
Bank transfer (automatic),113.8,Fiber optic,Yes,Yes
Electronic check,24.55,No,No internet service,No internet service
Credit card (automatic),19.7,No,No internet service,No internet service
Mailed check,20.25,No,No internet service,No internet service
Credit card (automatic),50.15,DSL,No,No
Credit card (automatic),100.5,Fiber optic,Yes,No
Electronic check,95.9,Fiber optic,Yes,No
Bank transfer (automatic),74.45,DSL,Yes,No
Electronic check,104.1,Fiber optic,Yes,No
Credit card (automatic),19.05,No,No internet service,No internet service
Mailed check,25.0,No,No internet service,No internet service
Mailed check,19.05,No,No internet service,No internet service
Electronic check,81.9,Fiber optic,Yes,No
Electronic check,69.7,Fiber optic,No,No
Electronic check,90.15,Fiber optic,Yes,No
Credit card (automatic),25.35,No,No internet service,No internet service
Mailed check,24.65,No,No internet service,No internet service
Credit card (automatic),19.55,No,No internet service,No internet service
Electronic check,25.25,DSL,No,No
Bank transfer (automatic),60.0,DSL,No,Yes
Credit card (automatic),89.9,Fiber optic,Yes,No
Bank transfer (automatic),19.4,No,No internet service,No internet service
Mailed check,49.8,DSL,No,No
Bank transfer (automatic),24.1,No,No internet service,No internet service
Electronic check,54.25,DSL,Yes,No
Credit card (automatic),109.9,Fiber optic,Yes,Yes
Credit card (automatic),35.5,DSL,Yes,No
Credit card (automatic),87.55,Fiber optic,No,No
Electronic check,45.15,DSL,No,No
Mailed check,88.4,Fiber optic,No,No
Mailed check,50.8,DSL,No,No
Electronic check,99.0,Fiber optic,Yes,Yes
Bank transfer (automatic),84.4,Fiber optic,No,No
Electronic check,96.55,Fiber optic,Yes,No
Bank transfer (automatic),59.75,DSL,No,Yes
Electronic check,111.5,Fiber optic,Yes,Yes
Bank transfer (automatic),24.25,No,No internet service,No internet service
Electronic check,75.1,Fiber optic,No,No
Credit card (automatic),70.15,DSL,No,No
Electronic check,101.75,Fiber optic,No,No
Electronic check,45.8,DSL,No,No
Mailed check,20.5,No,No internet service,No internet service
Electronic check,70.4,DSL,No,Yes
Mailed check,30.55,DSL,No,No
Electronic check,84.9,DSL,No,Yes
Mailed check,20.1,No,No internet service,No internet service
Mailed check,40.65,DSL,No,No
Electronic check,101.0,Fiber optic,Yes,No
Electronic check,69.1,Fiber optic,No,No
Bank transfer (automatic),54.5,DSL,No,Yes
Credit card (automatic),75.35,Fiber optic,No,No
Bank transfer (automatic),44.45,DSL,No,Yes
Mailed check,75.0,Fiber optic,No,No
Bank transfer (automatic),100.0,Fiber optic,No,No
Bank transfer (automatic),98.05,Fiber optic,Yes,No
Electronic check,71.15,Fiber optic,No,No
Credit card (automatic),54.15,DSL,Yes,No
Bank transfer (automatic),63.9,DSL,No,No
Bank transfer (automatic),69.15,DSL,Yes,No
Bank transfer (automatic),64.65,DSL,No,Yes
Credit card (automatic),108.75,Fiber optic,Yes,Yes
Electronic check,98.85,Fiber optic,No,No
Electronic check,49.15,DSL,No,No
Electronic check,89.6,Fiber optic,No,Yes
Electronic check,83.25,Fiber optic,Yes,No
Bank transfer (automatic),70.25,DSL,Yes,No
Electronic check,19.4,No,No internet service,No internet service
Electronic check,24.5,No,No internet service,No internet service
Electronic check,79.15,Fiber optic,No,Yes
Mailed check,20.1,No,No internet service,No internet service
Credit card (automatic),73.0,DSL,Yes,Yes
Credit card (automatic),61.4,DSL,No,Yes
Mailed check,84.3,Fiber optic,Yes,No
Bank transfer (automatic),19.9,No,No internet service,No internet service
Mailed check,20.4,No,No internet service,No internet service
Mailed check,50.75,DSL,No,No
Mailed check,20.45,No,No internet service,No internet service
Bank transfer (automatic),75.75,DSL,No,Yes
Electronic check,65.4,DSL,No,Yes
Electronic check,80.4,Fiber optic,No,No
Bank transfer (automatic),59.75,DSL,Yes,Yes
Electronic check,78.5,Fiber optic,No,No
Electronic check,102.0,Fiber optic,No,No
Bank transfer (automatic),48.95,DSL,Yes,No
Electronic check,99.65,Fiber optic,No,Yes
Credit card (automatic),18.25,No,No internet service,No internet service
Credit card (automatic),54.55,DSL,Yes,Yes
Mailed check,20.65,No,No internet service,No internet service
Bank transfer (automatic),40.65,DSL,No,Yes
Mailed check,20.45,No,No internet service,No internet service
Bank transfer (automatic),24.8,No,No internet service,No internet service
Mailed check,70.8,Fiber optic,No,No
Credit card (automatic),89.05,Fiber optic,No,No
Electronic check,96.6,Fiber optic,No,No
Bank transfer (automatic),88.8,DSL,Yes,Yes
Credit card (automatic),20.05,No,No internet service,No internet service
Credit card (automatic),104.5,Fiber optic,Yes,No
Electronic check,69.8,Fiber optic,No,No
Bank transfer (automatic),77.15,DSL,Yes,Yes
Bank transfer (automatic),35.05,DSL,No,Yes
Bank transfer (automatic),108.1,Fiber optic,Yes,No
Electronic check,84.05,Fiber optic,No,No
Bank transfer (automatic),20.2,No,No internet service,No internet service
Mailed check,50.6,DSL,No,No
Electronic check,49.2,DSL,Yes,No
Electronic check,24.6,No,No internet service,No internet service
Electronic check,71.65,Fiber optic,No,No
Credit card (automatic),104.9,Fiber optic,Yes,Yes
Electronic check,106.5,Fiber optic,Yes,Yes
Electronic check,49.35,DSL,No,Yes
Bank transfer (automatic),75.5,Fiber optic,No,No
Electronic check,94.25,Fiber optic,No,No
Electronic check,68.95,Fiber optic,No,No
Mailed check,58.5,DSL,No,No
Credit card (automatic),78.9,DSL,Yes,No
Electronic check,93.85,Fiber optic,No,No
Electronic check,79.2,DSL,Yes,Yes
Bank transfer (automatic),109.45,Fiber optic,Yes,Yes
Electronic check,59.2,DSL,Yes,Yes
Mailed check,29.15,DSL,No,No
Mailed check,20.05,No,No internet service,No internet service
Electronic check,76.05,Fiber optic,No,No
Mailed check,24.45,DSL,No,No
Credit card (automatic),66.5,DSL,Yes,No
Bank transfer (automatic),49.55,DSL,No,Yes
Credit card (automatic),89.35,Fiber optic,Yes,No
Credit card (automatic),73.6,Fiber optic,Yes,No
Credit card (automatic),82.65,DSL,Yes,Yes
Electronic check,49.0,DSL,No,No
Electronic check,80.35,Fiber optic,No,No
Electronic check,25.2,No,No internet service,No internet service
Mailed check,25.45,No,No internet service,No internet service
Electronic check,55.8,DSL,Yes,Yes
Credit card (automatic),110.9,Fiber optic,Yes,Yes
Credit card (automatic),77.75,Fiber optic,No,No
Electronic check,26.2,No,No internet service,No internet service
Bank transfer (automatic),19.9,No,No internet service,No internet service
Electronic check,79.05,Fiber optic,No,No
Electronic check,95.0,Fiber optic,No,Yes
Mailed check,25.2,DSL,No,No
Electronic check,80.85,DSL,Yes,No
Electronic check,98.4,Fiber optic,Yes,No
Mailed check,56.35,DSL,No,No
Bank transfer (automatic),19.3,No,No internet service,No internet service
Bank transfer (automatic),50.4,DSL,No,No
Credit card (automatic),79.4,DSL,Yes,Yes
Credit card (automatic),55.25,DSL,Yes,No
Mailed check,19.1,No,No internet service,No internet service
Electronic check,84.05,Fiber optic,No,No
Electronic check,105.2,Fiber optic,Yes,No
Electronic check,101.4,Fiber optic,Yes,No
Electronic check,89.8,Fiber optic,Yes,No
Bank transfer (automatic),75.75,Fiber optic,No,No
Electronic check,95.3,Fiber optic,No,No
Bank transfer (automatic),109.75,Fiber optic,Yes,Yes
Mailed check,19.85,No,No internet service,No internet service
Credit card (automatic),19.3,No,No internet service,No internet service
Electronic check,69.1,Fiber optic,No,No
Electronic check,91.25,Fiber optic,No,No
Mailed check,20.25,No,No internet service,No internet service
Mailed check,54.75,DSL,Yes,No
Electronic check,81.45,Fiber optic,No,No
Electronic check,49.1,DSL,No,No
Electronic check,80.2,DSL,Yes,Yes
Electronic check,100.3,Fiber optic,No,No
Credit card (automatic),65.25,DSL,Yes,Yes
Credit card (automatic),90.95,Fiber optic,Yes,Yes
Electronic check,85.45,Fiber optic,No,No
Mailed check,20.0,No,No internet service,No internet service
Electronic check,94.1,Fiber optic,No,No
Electronic check,79.85,Fiber optic,No,No
Electronic check,71.65,Fiber optic,No,No
Electronic check,73.55,Fiber optic,No,No
Electronic check,104.65,Fiber optic,Yes,No
Mailed check,19.3,No,No internet service,No internet service
Credit card (automatic),20.15,No,No internet service,No internet service
Electronic check,44.55,DSL,No,No
Mailed check,54.45,DSL,No,Yes
Bank transfer (automatic),19.65,No,No internet service,No internet service
Electronic check,105.0,Fiber optic,Yes,No
Credit card (automatic),88.7,DSL,Yes,Yes
Electronic check,74.25,Fiber optic,No,No
Bank transfer (automatic),75.15,DSL,Yes,Yes
Mailed check,20.25,No,No internet service,No internet service
Credit card (automatic),109.1,Fiber optic,No,Yes
Bank transfer (automatic),30.75,DSL,No,Yes
Credit card (automatic),112.9,Fiber optic,Yes,Yes
Electronic check,74.2,Fiber optic,No,No
Mailed check,94.05,Fiber optic,Yes,No
Bank transfer (automatic),78.85,DSL,Yes,Yes
Mailed check,55.3,DSL,No,No
Mailed check,19.35,No,No internet service,No internet service
Mailed check,25.35,No,No internet service,No internet service
Mailed check,20.45,No,No internet service,No internet service
Bank transfer (automatic),19.35,No,No internet service,No internet service
Electronic check,101.0,Fiber optic,No,No
Electronic check,100.2,Fiber optic,No,No
Electronic check,89.05,Fiber optic,No,Yes
Credit card (automatic),78.65,DSL,No,No
Bank transfer (automatic),74.75,DSL,Yes,No
Bank transfer (automatic),70.1,DSL,No,Yes
Mailed check,19.9,No,No internet service,No internet service
Bank transfer (automatic),58.35,DSL,Yes,No
Electronic check,105.65,Fiber optic,Yes,No
Bank transfer (automatic),100.5,Fiber optic,Yes,No
Mailed check,20.05,No,No internet service,No internet service
Credit card (automatic),25.65,No,No internet service,No internet service
Electronic check,96.5,Fiber optic,No,No
Credit card (automatic),95.0,Fiber optic,No,No
Mailed check,70.85,Fiber optic,No,No
Credit card (automatic),85.95,DSL,Yes,Yes
Electronic check,73.9,Fiber optic,Yes,No
Electronic check,45.45,DSL,No,No
Credit card (automatic),20.0,No,No internet service,No internet service
Mailed check,49.2,DSL,No,No
Bank transfer (automatic),109.45,Fiber optic,Yes,Yes
Credit card (automatic),83.25,DSL,Yes,Yes
Mailed check,19.25,No,No internet service,No internet service
Bank transfer (automatic),19.65,No,No internet service,No internet service
Bank transfer (automatic),72.8,Fiber optic,No,No
Bank transfer (automatic),109.65,Fiber optic,No,Yes
Credit card (automatic),65.0,DSL,No,No
Electronic check,114.1,Fiber optic,Yes,No
Bank transfer (automatic),20.65,No,No internet service,No internet service
Bank transfer (automatic),86.95,DSL,Yes,Yes
Bank transfer (automatic),94.75,Fiber optic,Yes,No
Credit card (automatic),25.35,DSL,No,No
Electronic check,105.45,Fiber optic,Yes,No
Mailed check,25.4,No,No internet service,No internet service
Electronic check,102.55,Fiber optic,Yes,No
Electronic check,100.2,Fiber optic,No,No
Mailed check,24.0,No,No internet service,No internet service
Mailed check,25.6,No,No internet service,No internet service
Credit card (automatic),73.5,DSL,Yes,No
Bank transfer (automatic),74.05,Fiber optic,No,No
Electronic check,98.25,Fiber optic,No,No
Electronic check,54.4,DSL,Yes,Yes
Bank transfer (automatic),101.55,Fiber optic,Yes,No
Electronic check,103.1,Fiber optic,Yes,No
Bank transfer (automatic),34.2,DSL,No,Yes
Electronic check,43.75,DSL,No,No
Electronic check,111.95,Fiber optic,Yes,No
Electronic check,100.65,Fiber optic,No,No
Electronic check,55.95,DSL,Yes,Yes
Bank transfer (automatic),116.05,Fiber optic,Yes,Yes
Electronic check,45.75,DSL,No,No
Credit card (automatic),82.0,DSL,Yes,No
Bank transfer (automatic),65.15,DSL,No,Yes
Credit card (automatic),44.8,DSL,No,No
Electronic check,79.8,Fiber optic,No,Yes
Electronic check,88.85,Fiber optic,No,No
Electronic check,74.95,Fiber optic,No,No
Bank transfer (automatic),106.85,Fiber optic,No,Yes
Electronic check,74.95,Fiber optic,No,No
Credit card (automatic),80.15,Fiber optic,No,No
Credit card (automatic),19.3,No,No internet service,No internet service
Electronic check,109.25,Fiber optic,Yes,No
Credit card (automatic),56.1,DSL,No,Yes
Credit card (automatic),19.7,No,No internet service,No internet service
Mailed check,51.3,DSL,No,No
Mailed check,118.6,Fiber optic,Yes,Yes
Bank transfer (automatic),24.15,No,No internet service,No internet service
Mailed check,20.3,No,No internet service,No internet service
Electronic check,115.5,Fiber optic,Yes,Yes
Credit card (automatic),25.05,No,No internet service,No internet service
Electronic check,109.1,Fiber optic,Yes,Yes
Mailed check,19.65,No,No internet service,No internet service
Bank transfer (automatic),111.3,Fiber optic,Yes,No
Mailed check,29.9,DSL,No,Yes
Mailed check,80.6,Fiber optic,No,No
Mailed check,20.8,No,No internet service,No internet service
Credit card (automatic),35.2,DSL,No,No
Electronic check,78.8,Fiber optic,No,No
Mailed check,89.95,Fiber optic,Yes,No
Bank transfer (automatic),116.05,Fiber optic,Yes,Yes
Credit card (automatic),19.55,No,No internet service,No internet service
Electronic check,106.4,Fiber optic,Yes,No
Electronic check,49.4,DSL,No,Yes
Credit card (automatic),115.25,Fiber optic,Yes,Yes
Credit card (automatic),24.8,No,No internet service,No internet service
Mailed check,19.9,No,No internet service,No internet service
Credit card (automatic),81.25,Fiber optic,Yes,Yes
Mailed check,69.95,Fiber optic,No,No
Electronic check,69.1,Fiber optic,No,No
Electronic check,90.2,Fiber optic,No,No
Bank transfer (automatic),93.55,Fiber optic,No,No
Credit card (automatic),86.4,Fiber optic,Yes,No
Mailed check,66.3,DSL,Yes,Yes
Credit card (automatic),94.65,Fiber optic,No,No
Mailed check,80.85,Fiber optic,No,No
Mailed check,82.05,Fiber optic,No,No
Mailed check,72.1,DSL,No,No
Mailed check,34.7,DSL,Yes,No
Credit card (automatic),20.55,No,No internet service,No internet service
Credit card (automatic),95.95,Fiber optic,Yes,No
Bank transfer (automatic),44.8,DSL,No,No
Electronic check,109.4,Fiber optic,Yes,Yes
Mailed check,71.05,DSL,No,Yes
Electronic check,78.55,Fiber optic,Yes,No
Credit card (automatic),19.7,No,No internet service,No internet service
Mailed check,40.25,DSL,No,Yes
Credit card (automatic),19.85,No,No internet service,No internet service
Bank transfer (automatic),68.25,DSL,Yes,Yes
Credit card (automatic),20.15,No,No internet service,No internet service
Mailed check,50.95,DSL,No,Yes
Electronic check,78.65,Fiber optic,No,No
Bank transfer (automatic),25.15,DSL,No,No
Bank transfer (automatic),20.25,No,No internet service,No internet service
Electronic check,42.9,DSL,No,No
Electronic check,44.0,DSL,No,No
